ID,MONTHS_BALANCE,STATUS
5008804,0,C
5008804,-1,C
5008804,-2,C
5008804,-3,C
5008804,-4,C
5008804,-5,C
5008805,0,C
5008805,-1,C
5008805,-2,C
5008805,-3,C
5008805,-4,C
5008805,-5,C
5008806,0,C
5008806,-1,C
5008806,-2,C
5008806,-3,C
5008806,-4,C
5008806,-5,C
5008810,0,C
5008810,-1,C
5008810,-2,C
5008810,-3,C
5008810,-4,C
5008810,-5,C
5008811,0,C
5008811,-1,C
5008811,-2,C
5008811,-3,C
5008811,-4,C
5008811,-5,C
5008813,0,0
5008813,-1,X
5008813,-2,X
5008813,-3,0
5008813,-4,0
5008813,-5,0
5008815,0,0
5008815,-1,0
5008815,-2,0
5008815,-3,0
5008815,-4,0
5008815,-5,0
5008821,0,X
5008821,-1,0
5008821,-2,0
5008821,-3,0
5008821,-4,X
5008821,-5,0
5008825,0,0
5008825,-1,0
5008825,-2,0
5008825,-3,0
5008825,-4,0
5008825,-5,0
5008827,0,C
5008827,-1,C
5008827,-2,C
5008827,-3,C
5008827,-4,C
5008827,-5,C
5008830,0,C
5008830,-1,C
5008830,-2,C
5008830,-3,C
5008830,-4,C
5008830,-5,C
5008831,0,C
5008831,-1,C
5008831,-2,C
5008831,-3,C
5008831,-4,0
5008831,-5,1
5008832,0,C
5008832,-1,C
5008832,-2,C
5008832,-3,C
5008832,-4,C
5008832,-5,C
5008834,0,C
5008834,-1,C
5008834,-2,C
5008834,-3,C
5008834,-4,C
5008834,-5,C
5008839,0,C
5008839,-1,C
5008839,-2,C
5008839,-3,C
5008839,-4,0
5008839,-5,0
5008840,0,C
5008840,-1,C
5008840,-2,C
5008840,-3,C
5008840,-4,C
5008840,-5,C
5008842,0,0
5008842,-1,0
5008842,-2,0
5008842,-3,0
5008842,-4,0
5008842,-5,0
5008843,0,C
5008843,-1,C
5008843,-2,C
5008843,-3,C
5008843,-4,C
5008843,-5,C
5008846,0,0
5008846,-1,0
5008846,-2,0
5008846,-3,0
5008846,-4,0
5008846,-5,0
5008850,0,0
5008850,-1,0
5008850,-2,0
5008850,-3,0
5008850,-4,0
5008850,-5,0
5008851,0,0
